publish_date,media_name,title,url
2025-04-09,thespec.com,"Number of homeless people in Ottawa has grown to 3,000, local charity says",https://www.thespec.com/news/ontario/number-of-homeless-people-in-ottawa-has-grown-to-3-000-local-charity-says/article_1641a169-2501-5d2e-b1f4-21995d99d186.html
2025-04-09,nsnews.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.nsnews.com/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497859
2025-04-09,prabhasakshi.com,"चीन, बांग्लादेश और पाकिस्तान मिलकर कर रहे प्लानिंग? भारत का क्या होगा अगला कदम",https://www.prabhasakshi.com/national/china-bangladesh-and-pakistan-are-planning-together-what-will-be-indias-next-step
2025-04-09,bowenislandundercurrent.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.bowenislandundercurrent.com/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497859
2025-04-09,nashobavalleyvoice.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.nashobavalleyvoice.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,abplive.com,Equitas Small Finance Bank ने घटाए FD Rates: Senior Citizens के लिए बढ़ा फायदा!,https://www.abplive.com/videos/business/equitas-small-finance-bank-reduces-fd-rates-increased-benefits-for-senior-citizens-paisa-live-2921809
2025-04-09,burnabynow.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.burnabynow.com/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497859
2025-04-09,wdio.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.wdio.com/front-page/world-national/asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect/
2025-04-09,oanow.com,The Latest: EU members approve new tariffs on $23 billion in US goods,https://oanow.com/partners/ap/business/article_2783e427-be5c-5bec-8c8d-6bb15b7259c2.html
2025-04-09,rmoutlook.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.rmoutlook.com/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497854
2025-04-09,oanow.com,Former Auburn star Jared Harper wins overseas MVP award,https://oanow.com/sports/college/auburn/article_3432355d-797a-4e1f-8a7a-30544b017c09.html
2025-04-09,wvnews.com,Former world snooker champion Graeme Dott suspended after accusations of sexual abuse,https://www.wvnews.com/sports/pro/former-world-snooker-champion-graeme-dott-suspended-after-accusations-of-sexual-abuse/article_63d47bc0-c944-5b0c-9e4a-cea9fadc3020.html
2025-04-09,kurv.com,Asian Supermarket Customers Brace For Price Hikes As Trump Tariffs Take Effect,https://www.kurv.com/asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect/?utm_source=rss&utm_medium=rss&utm_campaign=asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect
2025-04-09,lowellsun.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.lowellsun.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,thestar.com,Canadian men to train in Halifax ahead of four-team Canadian Shield event in June,https://www.thestar.com/sports/soccer/canadian-men-to-train-in-halifax-ahead-of-four-team-canadian-shield-event-in-june/article_9e9eb2f5-b8a5-5049-9a31-71141dd2e9c8.html
2025-04-09,mendocinobeacon.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.mendocinobeacon.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,wvnews.com,Sue E. Bittinger | Garrett Obituaries,https://www.wvnews.com/garrettrepublican/obits/sue-e-bittinger/article_7a402364-cb95-55b4-a6ae-21848a6544cb.html
2025-04-09,india.com,Deva Starring Shahid Kapoor Trends in 20+ Countries On Netflix,https://zeenews.india.com/movies/deva-starring-shahid-kapoor-trends-in-20-countries-on-netflix-2883825.html
2025-04-09,india.com,"Masterstroke by Modi government as India delivers Biggest SHOCK to anti-India Yunus, Bangladesh will now face...",https://www.india.com/news/world/masterstroke-by-modi-government-as-india-delivers-biggest-shock-to-anti-india-yunus-cancels-trans-shipment-facility-7744835/
2025-04-09,fortmorgantimes.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.fortmorgantimes.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,abplive.com,"'20 साल से हम जीरो टैरिफ पर व्यापार कर रहे लेकिन यूनुस को नहीं...', बोले GTRI के पूर्व प्रमुख",https://www.abplive.com/news/world/india-bangladesh-trade-gtri-former-head-ajay-srivastava-over-india-ends-transhipment-facility-muhammad-yunus-comment-chicken-neck-2921845
2025-04-09,westernwheel.ca,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.westernwheel.ca/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497854
